id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49337778,Depto Chula Vista,279258988,Lenny,,Gustavo A. Madero,19.48006,-99.10093,Entire home/apt,950,1,3,2022-01-01,0.15,1,242,1,
49503433,"Suites San Ángel.  ""Holbox"", 3.",136597640,Javier,,Álvaro Obregón,19.33746,-99.20102,Entire home/apt,730,1,12,2022-12-11,0.60,8,218,8,
49337868,Rento habitación para chica a dos cuadras del WTC,343396061,Ana Paula,,Benito Juárez,19.39322,-99.17152,Private room,4522,30,0,,,1,365,0,
49505254,Se renta habitación a mujer. Ambiente tranquilo,357549822,Daniela,,Cuauhtémoc,19.40614,-99.13732,Private room,200,15,0,,,1,365,0,
49677196,"Seguro., tranquilo y relajante",263802132,Daniel,,Venustiano Carranza,19.42307,-99.11618,Entire home/apt,350,1,0,,,1,365,0,
49505653,La que estabas buscando - Increíble habitación,48471303,Miguel,,Cuauhtémoc,19.40768,-99.16925,Private room,1586,1,18,2022-11-03,0.92,1,89,9,
49682887,"Private bedroom in heart of LaRoma, welcome home:)",19234273,María Luisa,,Cuauhtémoc,19.41761,-99.16402,Private room,2000,2,1,2022-03-19,0.10,4,179,1,
49338261,"Departamento de lujo, habitación privada",117626530,Kate,,Benito Juárez,19.36583,-99.16243,Private room,857,2,0,,,3,177,0,
49343055,Apartment a step away from Av Palmas and Polanco,247683383,Beatriz Eugenia,,Miguel Hidalgo,19.43247,-99.20975,Entire home/apt,1300,5,17,2022-11-27,0.84,1,318,11,
49343983,Hermosa habitación cerca del WTC,338383414,Mario,,Benito Juárez,19.39164,-99.17727,Private room,450,2,37,2022-11-06,1.81,2,330,15,
49687461,Precioso departamento completo totalmente equipado,399257582,Jacqueline,,Gustavo A. Madero,19.46785,-99.117691,Entire home/apt,1103,2,35,2022-12-11,1.85,2,266,20,
49514061,2 story ultra modern 2 bedroom in Polanco,23719170,Maryam,,Miguel Hidalgo,19.43747,-99.19426,Entire home/apt,2717,30,0,,,1,0,0,
